x,y,region,country,reportingDate,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da,lumpy
52.057739,53.277093,Europe,Russian Federation,28/12/2018,65.5,7.3,31,0.2,37.3,-17.1,-13.4,-9.8,1.8,16.12,159,2,313.0785092,0.001298,1
71.765426,54.303234,Europe,Russian Federation,13/11/2018,47.5,8.4,31,0,4.5,-25.2,-21,-16.8,1.2,2.45,153,2,273.1004233,0.014103236,1
72.288125,55.608657,Europe,Russian Federation,13/11/2018,49.8,8.3,31,0,4.5,-26,-21.8,-17.7,1,3.51,153,2,191.1906738,0.000414864,1
48.42049,53.06498,Europe,Russian Federation,26/10/2018,71.9,6.3,31,0.1,46.4,-14.8,-11.6,-8.5,2.3,18.35,154,2,191.9188095,0.000202869,1
49.0166,53.2418,Europe,Russian Federation,26/10/2018,71.9,6.2,31,0.1,45.1,-15,-11.9,-8.8,2.2,18.77,151,2,0,0.001142567,1
50.769,53.569,Europe,Russian Federation,19/10/2018,67.2,6.3,31,0.1,47,-16.1,-12.9,-9.8,2,18.65,144,2,224.6525478,0.001929675,1
43.47123,41.275959,Asia,Georgia,17/10/2018,65.3,10.1,31,0.4,35.8,-15,-9.9,-4.9,2.2,8.96,200,2,693.2585781,0.018679905,1
48.682356,53.31121,Europe,Russian Federation,12/10/2018,71.9,6.3,31,0.1,45.3,-14.6,-11.4,-8.3,2.3,18.45,160,2,541.0955888,0.090783198,1
52.0527,53.6039,Europe,Russian Federation,5/10/2018,66.9,6.9,31,0.2,38.4,-17.1,-13.6,-10.2,1.8,17,149,2,223.9860321,0.001396443,1
63.242,56.924,Europe,Russian Federation,5/10/2018,62.9,7.6,31,0,8.4,-20.8,-17,-13.2,1.5,3.69,156,4,66.68872963,0.000183841,1
71.599406,54.308897,Europe,Russian Federation,28/09/2018,47.5,8.4,31,0,4.5,-25.2,-21,-16.8,1.2,2.45,153,2,273.1004233,0.014103236,1
72.579005,54.293137,Europe,Russian Federation,28/09/2018,45.8,8.3,31,0,5,-25.7,-21.5,-17.4,1,3.9,155,3,255.1086888,0.008745306,1
73.552699,54.960695,Europe,Russian Federation,28/09/2018,48,8.1,31,0,5,-25.7,-21.6,-17.6,1,2.71,153,2,268.8964691,0.003544422,1
51.795,53.928,Europe,Russian Federation,28/09/2018,66.9,6.9,31,0.1,41.5,-17,-13.5,-10.1,1.9,17.74,152,2,223.7699429,0.002104975,1
63.7378,54.272,Europe,Russian Federation,28/09/2018,41.7,8.9,31,0,4.4,-23.3,-18.8,-14.4,1.3,3.63,159,2,129.6842959,0.001487305,1
65.452267,55.51875,Europe,Russian Federation,28/09/2018,46,8.2,31,0,6.1,-22.7,-18.6,-14.5,1.4,3.91,157,4,93.88023891,0.00022425,1
63.82546,54.43286,Europe,Russian Federation,28/09/2018,41.7,8.9,31,0,4.4,-23.3,-18.8,-14.4,1.3,3.63,159,2,129.6842959,0.001487305,1
48.620115,53.367471,Europe,Russian Federation,14/09/2018,71.9,6.3,31,0.1,45.3,-14.6,-11.4,-8.3,2.3,18.45,160,2,541.0955888,0.090783198,1
61.737598,55.391565,Europe,Russian Federation,14/09/2018,52.9,8.1,31,0.1,6.7,-20.8,-16.7,-12.7,1.4,3.74,160,3,559.5466462,0.120827602,1
42.998808,41.637857,Asia,Georgia,11/9/2018,66.4,9.8,30.78,0.5,62.8,-12.1,-7.2,-2.3,2.7,8.37,149,2,1620.225271,0.004158643,1
48.223867,52.720618,Europe,Russian Federation,10/9/2018,72.2,6.3,31,0.1,48.5,-14.5,-11.3,-8.2,2.4,17.03,150,3,276.2739316,0.001188016,1
43.04024,41.63781,Asia,Georgia,22/08/2018,68.9,9.6,30.84,0.4,37.8,-12.4,-7.6,-2.8,2.8,8.85,197,4,296.7153223,0.280069241,1
49.967458,53.578116,Europe,Russian Federation,28/08/2018,71.3,6.2,31,0.1,47.1,-15.5,-12.4,-9.3,2.1,19.28,152,2,223.6049016,0.000343344,1
61.078315,54.968664,Europe,Russian Federation,28/08/2018,51.6,8.2,31,0.1,6.3,-21,-16.9,-12.8,1.4,5.9,158,3,606.0038124,0.154632748,1
48.598902,52.848873,Europe,Russian Federation,28/08/2018,71,6.5,31,0.1,43.2,-14.4,-11.1,-7.9,2.4,17.23,153,2,188.1844683,0.001018926,1
60.0987,54.013498,Europe,Russian Federation,28/08/2018,56.3,8.5,31,0.1,7,-22,-17.7,-13.5,1.3,5.36,164,3,245.2306087,0.001185613,1
50.441284,53.011447,Europe,Russian Federation,22/08/2018,71.2,6.2,31,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07,151,1,470.3342472,0.01592319,1
50.455518,53.173852,Europe,Russian Federation,22/08/2018,71.2,6.2,31,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07,151,1,470.3342472,0.01592319,1
50.368106,53.155601,Europe,Russian Federation,22/08/2018,71.2,6.2,31,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07,151,1,470.3342472,0.01592319,1
50.431088,53.098593,Europe,Russian Federation,15/08/2018,71.2,6.2,31,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07,151,1,470.3342472,0.01592319,1
49.807109,53.052669,Europe,Russian Federation,9/8/2018,71.9,6.3,31,0.1,44.3,-15.4,-12.2,-9.1,2.2,17.94,151,4,0,0,1
49.090837,53.378337,Europe,Russian Federation,9/8/2018,71.9,6.2,31,0.1,45.1,-15,-11.9,-8.8,2.2,18.77,151,2,0,0.001142567,1
63.421231,54.671767,Europe,Russian Federation,3/8/2018,38,8.7,31,0,5.3,-22.4,-18,-13.7,1.4,4.09,158,2,121.3357421,0.000543365,1
63.587311,54.676385,Europe,Russian Federation,3/8/2018,38.3,8.7,31,0.1,5.1,-22.7,-18.3,-14,1.3,3.83,155,2,123.2178945,0.000314604,1
64.01455,54.652009,Europe,Russian Federation,3/8/2018,46.3,8.7,31,0.1,4.6,-22.9,-18.5,-14.2,1.3,3.37,155,2,139.3843779,0.000764792,1
63.274788,54.358231,Europe,Russian Federation,3/8/2018,44.1,8.8,31,0.1,4.5,-22.9,-18.5,-14.1,1.3,3.94,152,2,194.6554923,0.001484874,1
63.873514,54.656506,Europe,Russian Federation,3/8/2018,38.3,8.7,31,0.1,5.1,-22.7,-18.3,-14,1.3,3.83,155,2,123.2178945,0.000314604,1
64.10991,54.342329,Europe,Russian Federation,3/8/2018,39.3,8.7,31,0,4.2,-23.3,-18.9,-14.6,1.3,3.35,155,2,140.8923822,0.004954133,1
64.156846,54.77412,Europe,Russian Federation,3/8/2018,46.3,8.7,31,0.1,4.6,-22.9,-18.5,-14.2,1.3,3.37,155,2,139.3843779,0.000764792,1
68.213566,55.074366,Europe,Russian Federation,3/8/2018,42.8,8.5,31,0,3.7,-24.8,-20.5,-16.3,1.2,3.72,156,2,112.1626548,0.001854746,1
68.196559,55.111809,Europe,Russian Federation,3/8/2018,42.8,8.5,31,0,3.7,-24.8,-20.5,-16.3,1.2,3.72,156,2,112.1626548,0.001854746,1
63.258643,54.6207,Europe,Russian Federation,3/8/2018,38,8.7,31,0,5.3,-22.4,-18,-13.7,1.4,4.09,158,2,121.3357421,0.000543365,1
63.841314,54.68896,Europe,Russian Federation,3/8/2018,38.3,8.7,31,0.1,5.1,-22.7,-18.3,-14,1.3,3.83,155,2,123.2178945,0.000314604,1
64.086675,54.626375,Europe,Russian Federation,3/8/2018,46.3,8.7,31,0.1,4.6,-22.9,-18.5,-14.2,1.3,3.37,155,2,139.3843779,0.000764792,1
42.794891,41.698604,Asia,Georgia,3/8/2018,66.4,9.8,30.78,0.5,62.8,-12.1,-7.2,-2.3,2.7,8.37,149,2,1620.225271,0.004158643,1
42.719268,41.668965,Asia,Georgia,3/8/2018,66.4,9.8,30.78,0.5,62.8,-12.1,-7.2,-2.3,2.7,8.37,149,2,1620.225271,0.004158643,1
42.773602,41.674306,Asia,Georgia,3/8/2018,66.4,9.8,30.78,0.5,62.8,-12.1,-7.2,-2.3,2.7,8.37,149,2,1620.225271,0.004158643,1
49.07513,52.850265,Europe,Russian Federation,1/8/2018,70.9,6.5,31,0.1,41.2,-14.9,-11.6,-8.4,2.4,16.73,157,2,181.5863885,0.001444467,1
49.877967,52.997772,Europe,Russian Federation,1/8/2018,70.8,6.5,31,0.1,41,-15.3,-12,-8.8,2.2,17.13,158,2,170.7139539,0.001472443,1
49.77079,53.039687,Europe,Russian Federation,1/8/2018,71.9,6.3,31,0.1,44.3,-15.4,-12.2,-9.1,2.2,17.94,151,4,0,0,1
49.889646,53.118124,Europe,Russian Federation,1/8/2018,71.9,6.3,31,0.1,44.3,-15.4,-12.2,-9.1,2.2,17.94,151,4,0,0,1
49.816844,52.849799,Europe,Russian Federation,1/8/2018,70.8,6.5,31,0.1,41,-15.3,-12,-8.8,2.2,17.13,158,2,170.7139539,0.001472443,1
63.360682,54.354174,Europe,Russian Federation,1/8/2018,44.1,8.8,31,0.1,4.5,-22.9,-18.5,-14.1,1.3,3.94,152,2,194.6554923,0.001484874,1
63.353109,54.303767,Europe,Russian Federation,1/8/2018,44.1,8.8,31,0.1,4.5,-22.9,-18.5,-14.1,1.3,3.94,152,2,194.6554923,0.001484874,1
63.576414,54.291491,Europe,Russian Federation,1/8/2018,41.7,8.9,31,0,4.4,-23.3,-18.8,-14.4,1.3,3.63,159,2,129.6842959,0.001487305,1
64.004208,54.336731,Europe,Russian Federation,1/8/2018,39.3,8.7,31,0,4.2,-23.3,-18.9,-14.6,1.3,3.35,155,2,140.8923822,0.004954133,1
